2018-09-01 20:26:58,014 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '5fd41ecf-ae25-11e8-afbf-4f85be09a5c3', 'date': 'Sat, 01 Sep 2018 20:26:57 GMT', 'content-length': '19660', 'content-type': 'application/json'}]
2018-09-03 15:01:31,889 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '3e2faec1-af8a-11e8-b896-1fb92fbf4639', 'date': 'Mon, 03 Sep 2018 15:01:31 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 15:01:33,282 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=4105dc7c-5ac2-421c-82d0-d7f03075b347 [headers: {'x-amzn-requestid': '3ef807aa-af8a-11e8-8a11-fb133f2f531b', 'date': 'Mon, 03 Sep 2018 15:01:32 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 15:01:34,581 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '3fca7315-af8a-11e8-ba93-4d1d0929aa66', 'date': 'Mon, 03 Sep 2018 15:01:33 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 15:02:19,029 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '5a40968a-af8a-11e8-a57f-0b618a7b83e4', 'date': 'Mon, 03 Sep 2018 15:02:18 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 15:33:33,228 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'b7650e25-af8e-11e8-8c93-93789acee7b6', 'date': 'Mon, 03 Sep 2018 15:33:33 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 15:33:34,513 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=61df4014-0760-4578-b274-cbf3a40d2cbf [headers: {'x-amzn-requestid': 'b825776f-af8e-11e8-8718-cd51df045d62', 'date': 'Mon, 03 Sep 2018 15:33:34 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 15:33:35,850 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'b8ed0d60-af8e-11e8-ba49-035aba43ef67', 'date': 'Mon, 03 Sep 2018 15:33:35 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 15:34:22,462 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'd4ba0e57-af8e-11e8-bc19-e3cd422e5ead', 'date': 'Mon, 03 Sep 2018 15:34:22 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:13:09,257 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '3f9d3c9c-af94-11e8-9036-0973322be58a', 'date': 'Mon, 03 Sep 2018 16:13:08 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:13:10,558 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=95008147-efde-4cca-b411-23c089885b57 [headers: {'x-amzn-requestid': '4060b40e-af94-11e8-8ef1-ab68966678d4', 'date': 'Mon, 03 Sep 2018 16:13:09 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 16:13:11,856 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '41290d93-af94-11e8-a609-3346ddeb0718', 'date': 'Mon, 03 Sep 2018 16:13:11 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:13:58,281 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '5cd4f203-af94-11e8-83e9-1321dbd66411', 'date': 'Mon, 03 Sep 2018 16:13:57 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:39:05,848 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'df6b1770-af97-11e8-9ea7-6bc19a5e9a7d', 'date': 'Mon, 03 Sep 2018 16:39:05 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:39:07,152 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=ee783dab-e364-4827-81e1-df12f7dc3671 [headers: {'x-amzn-requestid': 'e0323823-af97-11e8-bc19-e3cd422e5ead', 'date': 'Mon, 03 Sep 2018 16:39:06 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 16:39:08,461 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'e0f95811-af97-11e8-be3a-45bde98c661b', 'date': 'Mon, 03 Sep 2018 16:39:07 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 16:39:54,903 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'fca368ba-af97-11e8-ab25-41e2e62b920b', 'date': 'Mon, 03 Sep 2018 16:39:54 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 20:46:54,906 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '7e0ed857-afba-11e8-acec-af69f6866f45', 'date': 'Mon, 03 Sep 2018 20:46:53 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 20:46:56,144 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=e3a4c988-fbde-43db-8faa-426ce7d0352a [headers: {'x-amzn-requestid': '7ecd6dcd-afba-11e8-82f0-4fe96147317f', 'date': 'Mon, 03 Sep 2018 20:46:55 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 20:46:57,444 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '7f930775-afba-11e8-8898-b99b47507aac', 'date': 'Mon, 03 Sep 2018 20:46:57 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 20:47:45,740 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '9c5b31ae-afba-11e8-a57f-0b618a7b83e4', 'date': 'Mon, 03 Sep 2018 20:47:44 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 22:34:06,419 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '7789b1b0-afc9-11e8-8182-59e1f5b30de6', 'date': 'Mon, 03 Sep 2018 22:34:06 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 22:34:07,700 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=fa046af2-3a63-4a08-8039-d425bf961094 [headers: {'x-amzn-requestid': '784d773b-afc9-11e8-926f-0744d37c4797', 'date': 'Mon, 03 Sep 2018 22:34:07 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 22:34:09,024 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '7919c7fd-afc9-11e8-926f-0744d37c4797', 'date': 'Mon, 03 Sep 2018 22:34:08 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 22:34:57,423 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '95f0708c-afc9-11e8-a9e5-616375a9f9fd', 'date': 'Mon, 03 Sep 2018 22:34:56 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 23:06:04,182 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'ee9db6f1-afcd-11e8-9d55-35ba42c80f66', 'date': 'Mon, 03 Sep 2018 23:06:03 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 23:06:05,428 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=3ba0d085-e38b-4198-8426-09fbd551438e [headers: {'x-amzn-requestid': 'ef5e6f49-afcd-11e8-81d7-71312b40d592', 'date': 'Mon, 03 Sep 2018 23:06:04 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-03 23:06:06,746 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'f026c864-afcd-11e8-8bbe-a30d968bd02d', 'date': 'Mon, 03 Sep 2018 23:06:06 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-03 23:06:51,339 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '0aba5ee8-afce-11e8-a4e2-33982292e0b1', 'date': 'Mon, 03 Sep 2018 23:06:51 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-05 05:07:09,356 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '8a781251-b0c9-11e8-bf3a-77d7c4c47104', 'date': 'Wed, 05 Sep 2018 05:07:09 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-05 05:07:10,634 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=8e128fdf-7484-467b-9254-df55f8792986 [headers: {'x-amzn-requestid': '8b3fcf80-b0c9-11e8-bda1-f9c186ef5d0f', 'date': 'Wed, 05 Sep 2018 05:07:10 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2018-09-05 05:07:12,023 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '8c123a77-b0c9-11e8-a51d-81cf4a2aff39', 'date': 'Wed, 05 Sep 2018 05:07:11 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-05 05:08:06,832 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'acbef209-b0c9-11e8-a4e2-33982292e0b1', 'date': 'Wed, 05 Sep 2018 05:08:06 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
2018-09-05 05:16:39,968 [DEBUG] Response: 200 https://cloudformation.us-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-west-2%3A970269474306%3Astack%2Fawseb-e-fnb2kberzb-stack%2Fc3df3860-ae21-11e8-b423-06dcf5c4ac1e&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'de9996d9-b0ca-11e8-9aa4-0f9d528afa45', 'date': 'Wed, 05 Sep 2018 05:16:39 GMT', 'content-length': '19661', 'content-type': 'application/json'}]
